key,text
class.sexton.name,Sacristán
biome.catacombs.name,Catacumbas
card.strike.name,Golpe
card.strike.text,Inflige {0} de daño.
card.brace.name,Aguantar
card.brace.text,Gana {0} de Bloqueo.
card.last_rites.name,Últimos Ritos
card.last_rites.text,Inflige {0} de daño. Aplica {1} Débil.
card.shovel_swing.name,Palazo
card.shovel_swing.text,Inflige {0} de daño.
card.bone_wall.name,Muro de Huesos
card.bone_wall.text,Gana {0} de Bloqueo.
card.grave_dust.name,Polvo de Tumba
card.grave_dust.text,Aplica {0} Vulnerable. Roba {1} carta.
card.reaping.name,Siega
card.reaping.text,Inflige {0} de daño {1} veces.
card.vigil.name,Vela
card.vigil.text,Al inicio de cada turno gana {0} de Bloqueo.
card.censer_smoke.name,Humo de Incensario
card.censer_smoke.text,Gana {0} de Bloqueo. Aplica {1} Débil a todos los enemigos.
card.exhume.name,Exhumar
card.exhume.text,Roba {0} cartas. Se consume.
card.lantern_oil.name,Aceite de Farol
card.lantern_oil.text,Gana {0} de Energía. Roba {1} carta. Se consume.
card.bone_shard.name,Esquirla de Hueso
card.bone_shard.text,Inflige {0} de daño.
card.sanctify.name,Santificar
card.sanctify.text,Gana {0} de Bloqueo. Cura {1}.
card.hallowed_strike.name,Golpe Consagrado
card.hallowed_strike.text,Inflige {0} de daño. Sagrado: 50% más contra los no muertos.
card.bulwark.name,Baluarte
card.bulwark.text,Gana {0} de Espinas.
card.requiem.name,Réquiem
card.requiem.text,Inflige {0} de daño a todos los enemigos.
card.second_wind.name,Segundo Aliento
card.second_wind.text,Cura {0}. Se consume.
card.dig_in.name,Atrincherarse
card.dig_in.text,Gana {0} de Bloqueo. Gana {1} de Ingenio en este combate.
card.sharpen_spade.name,Afilar la Pala
card.sharpen_spade.text,Gana {0} de Fuerza en este combate. Se consume.
card.tolling_bell.name,Campana a Muerto
card.tolling_bell.text,Aplica {0} Vulnerable a todos los enemigos.
card.rat_swarm.name,Plaga de Ratas
card.rat_swarm.text,Inflige {0} de daño {1} veces.
card.cold_iron.name,Hierro Frío
card.cold_iron.text,Inflige {0} de daño. Aplica {1} Débil.
card.shroud.name,Sudario
card.shroud.text,Gana {0} de Bloqueo. Se retiene.
card.grave_moss.name,Musgo de Tumba
card.grave_moss.text,Gana {0} de Regeneración.
card.tomb_lantern.name,Farol de Tumba
card.tomb_lantern.text,Roba {0} cartas.
card.bone_spear.name,Lanza de Hueso
card.bone_spear.text,Inflige {0} de daño.
card.plague_vial.name,Vial de Peste
card.plague_vial.text,Aplica {0} Veneno.
card.death_knell.name,Toque de Difuntos
card.death_knell.text,Al inicio de cada turno inflige {0} de daño a todos los enemigos.
card.cairn.name,Mojón
card.cairn.text,Gana {0} de Bloqueo. Gana {1} de Espinas.
card.ashes.name,Cenizas
card.ashes.text,Inflige {0} de daño a todos los enemigos. Aplica {1} Quemadura a todos los enemigos.
enemy.bone_rat.name,Rata de Hueso
enemy.shambler.name,Renqueante
enemy.grave_wisp.name,Fuego Fatuo
enemy.skull_stack.name,Pila de Cráneos
enemy.bone_archer.name,Arquero de Hueso
enemy.crypt_spider.name,Araña de Cripta
enemy.hollow_knight.name,Caballero Hueco
enemy.plague_bearer.name,Portador de Peste
enemy.ossuary_warden.name,Guardián del Osario
enemy.mother_of_bones.name,Madre de los Huesos
relic.sextons_lantern.name,Farol del Sacristán
relic.sextons_lantern.text,Empieza cada combate con 3 de Bloqueo.
relic.bone_charm.name,Amuleto de Hueso
relic.bone_charm.text,Empieza cada combate con 1 de Fuerza.
relic.cracked_hourglass.name,Reloj Rajado
relic.cracked_hourglass.text,Roba 1 carta más al inicio de cada combate.
relic.ossuary_key.name,Llave del Osario
relic.ossuary_key.text,Cura 4 tras cada combate.
relic.lead_censer.name,Incensario de Plomo
relic.lead_censer.text,Los enemigos empiezan cada combate con 1 Débil.
relic.grave_coin.name,Moneda de Tumba
relic.grave_coin.text,Gana 10 de Moneda tras cada combate.
event.whispering_well.name,El Pozo que Susurra
event.whispering_well.text,Un pozo respira aire frío. Algo abajo sabe tu nombre.
event.whispering_well.drink,Beber. Cura 12.
event.whispering_well.offer,Ofrecer sangre. Pierde 7 de Vida. Gana 1 de Ingenio en esta expedición.
event.whispering_well.leave,Seguir andando.
event.collapsed_crypt.name,Cripta Derrumbada
event.collapsed_crypt.text,La piedra caída tapa un pasillo lateral. Brillan huesos entre los escombros.
event.collapsed_crypt.dig,Cavar. Pierde 8 de Vida. Gana una Lanza de Hueso.
event.collapsed_crypt.pray,Decir los ritos. Cura 5. Gana 2 de Alma.
event.collapsed_crypt.leave,Dejarlo enterrado.
event.lost_lantern.name,Farol Perdido
event.lost_lantern.text,Un farol sigue ardiendo junto a un sepulturero muerto. Tiene el vidrio rajado.
event.lost_lantern.take,Cogerlo. Gana el Reloj Rajado.
event.lost_lantern.sell,Arrancar el latón. Gana 40 de Moneda.
upgrade.might.name,Fuerza de Sepulturero
upgrade.might.text,Tus héroes ganan +1 de Fuerza.
upgrade.wit.name,Ritos Antiguos
upgrade.wit.text,Tus héroes ganan +1 de Ingenio.
upgrade.vigor.name,Sangre Recia
upgrade.vigor.text,Tus héroes ganan +1 de Vigor.
upgrade.focus.name,Disciplina del Farol
upgrade.focus.text,Tus héroes ganan +1 de Enfoque.
upgrade.resolve.name,Segundas Intenciones
upgrade.resolve.text,+1 de Temple máximo. Retirada dos veces por héroe.
