revision,route,profile,policy,n,deaths,floor4_reached,floor4_loss_mean,floor4_loss_p10,floor4_loss_median,floor4_loss_p90,normal_f2_4_wins,normal_f2_4_turns_mean,normal_f2_4_turns_p10,normal_f2_4_turns_median,normal_f2_4_turns_p90,depth_mean,depth_p10,depth_median,depth_p90,gross_damage_mean,healing_mean,blocked_mean,enemy_actions_mean,coin_spent_mean
baseline,all,fresh_sexton,attack_first,100,100,94,0.436626139817629,0.142857142857143,0.4,0.785714285714286,490,1.78163265306122,1,2,3,7.07,5,7,9,107.78,34.12,28.47,24.83,142.0
baseline,all,fresh_sexton,defense_aware,100,100,100,0.262,0.0142857142857142,0.257142857142857,0.5,494,2.11133603238866,1,2,4,8.13,7,8,10,108.99,35.9,184.59,47.14,194.5
baseline,all,fresh_sexton,lookahead,100,100,100,0.160571428571429,0.0,0.142857142857143,0.328571428571429,494,1.82995951417004,1,2,3,9.35,8,10,10,120.0,44.15,184.51,49.51,257.5
baseline,all,early_purchases,attack_first,100,100,100,0.354520547945206,0.0684931506849316,0.328767123287671,0.671232876712329,494,1.63765182186235,1,2,3,7.96,6,8,10,116.58,39.58,30.61,26.44,186.0
baseline,all,early_purchases,defense_aware,100,100,100,0.143698630136986,0.0,0.123287671232877,0.301369863013699,494,1.85627530364372,1,2,3,9.1,8,9,10,115.24,38.33,214.47,50.98,244.0
baseline,all,early_purchases,lookahead,100,99,100,0.0879452054794521,0.0,0.0684931506849316,0.219178082191781,494,1.65587044534413,1,2,3,9.87,9,10,10,120.91,40.66,195.8,48.32,285.0
baseline,all,unlocked_hexer,attack_first,100,100,94,0.426882809861533,0.126984126984127,0.396825396825397,0.698412698412698,491,1.54175152749491,1,1,2,7.42,5,7,10,101.81,35.99,7.7,18.69,154.5
baseline,all,unlocked_hexer,defense_aware,100,100,100,0.236984126984127,0.0,0.19047619047619,0.507936507936508,494,1.73481781376518,1,2,3,8.46,7,8,10,108.88,42.86,95.22,32.28,206.0
baseline,all,unlocked_hexer,lookahead,100,98,100,0.183492063492064,0.0,0.158730158730159,0.412698412698413,494,1.70242914979757,1,2,3,9.14,8,10,10,112.12,44.76,105.41,34.65,254.5
baseline,all,later_cycle,attack_first,100,100,0,,,,,0,,,,,31.18,31,31,32,94.69,2.64,7.19,5.09,7.0
baseline,all,later_cycle,defense_aware,100,100,0,,,,,0,,,,,31.43,31,31,32,93.41,5.17,174.93,12.96,12.0
baseline,all,later_cycle,lookahead,100,100,0,,,,,0,,,,,31.57,31,31,32,94.61,5.35,166.78,12.88,16.5
clarity-r2,safe,fresh_sexton,attack_first,100,100,51,0.721848739495798,0.485714285714286,0.742857142857143,0.942857142857143,511,3.20547945205479,2,3,4,4.7,4,5,6,83.69,11.83,42.22,23.02,40.5
clarity-r2,safe,fresh_sexton,defense_aware,100,100,100,0.461142857142857,0.214285714285714,0.442857142857143,0.728571428571429,600,4.60333333333333,3,4,6,6.7,5,7,8,91.04,18.91,260.21,61.64,87.0
clarity-r2,safe,fresh_sexton,lookahead,100,100,100,0.338428571428572,0.128571428571429,0.342857142857143,0.542857142857143,600,3.80833333333333,2,4,6,7.59,7,7,9,93.58,20.39,213.55,54.96,107.0
clarity-r2,safe,early_purchases,attack_first,100,100,92,0.60646217986897,0.342465753424658,0.602739726027397,0.904109589041096,590,2.78135593220339,2,3,4,6.0,5,6,7,93.12,17.34,49.02,24.43,67.0
clarity-r2,safe,early_purchases,defense_aware,100,100,100,0.282465753424658,0.0958904109589042,0.273972602739726,0.493150684931507,600,3.90333333333333,2,4,6,7.66,7,7,9,97.02,21.19,279.27,62.78,108.0
clarity-r2,safe,early_purchases,lookahead,100,100,100,0.243561643835616,0.0821917808219178,0.26027397260274,0.36986301369863,600,3.11166666666667,2,3,4,8.62,7,9,10,99.82,23.35,212.16,52.08,137.0
clarity-r2,safe,unlocked_hexer,attack_first,100,100,24,0.693121693121693,0.444444444444444,0.698412698412698,0.888888888888889,407,2.74938574938575,2,3,3,3.99,3,4,5,77.64,12.11,11.7,14.65,27.5
clarity-r2,safe,unlocked_hexer,defense_aware,100,100,84,0.533824640967499,0.238095238095238,0.507936507936508,0.841269841269841,574,3.39024390243902,3,3,4,6.12,4,6,8,85.23,19.79,132.14,35.51,74.0
clarity-r2,safe,unlocked_hexer,lookahead,100,100,96,0.499338624338625,0.222222222222222,0.476190476190476,0.825396825396825,596,3.26006711409396,2,3,4,6.72,5,7,9,87.77,21.33,139.51,37.6,85.0
clarity-r2,safe,later_cycle,attack_first,100,100,0,,,,,0,,,,,31.0,31,31,31,93.46,0.03,6.95,4.46,0.0
clarity-r2,safe,later_cycle,defense_aware,100,100,0,,,,,0,,,,,31.04,31,31,31,91.29,2.52,127.71,10.26,0.0
clarity-r2,safe,later_cycle,lookahead,100,100,0,,,,,0,,,,,31.08,31,31,31,91.59,3.26,132.58,10.55,0.0
clarity-r2,all,fresh_sexton,attack_first,100,100,36,0.751984126984127,0.571428571428571,0.742857142857143,0.957142857142857,473,3.17758985200846,2,3,4,4.15,3,4,5,83.66,10.76,39.82,22.41,31.0
clarity-r2,all,fresh_sexton,defense_aware,100,100,95,0.51203007518797,0.257142857142857,0.457142857142857,0.814285714285714,599,4.56761268781302,3,4,7,6.27,5,6,8,97.99,24.87,273.76,64.02,87.5
clarity-r2,all,fresh_sexton,lookahead,100,100,99,0.394516594516595,0.157142857142857,0.385714285714286,0.671428571428571,600,3.745,2,4,6,7.48,6,7,9,101.46,28.43,229.28,58.61,131.0
clarity-r2,all,early_purchases,attack_first,100,100,79,0.631350788971736,0.342465753424658,0.616438356164384,0.917808219178082,573,2.73996509598604,2,3,4,5.59,4,5,7,96.24,19.97,47.8,25.09,66.5
clarity-r2,all,early_purchases,defense_aware,100,100,100,0.328219178082192,0.0958904109589042,0.287671232876712,0.547945205479452,600,3.85666666666667,2,4,6,7.53,6,7,9,104.11,28.35,305.57,67.93,122.5
clarity-r2,all,early_purchases,lookahead,100,100,100,0.261643835616438,0.0547945205479452,0.26027397260274,0.465753424657534,600,3.08666666666667,2,3,4,8.87,7,9,10,113.33,36.59,240.11,59.36,175.0
clarity-r2,all,unlocked_hexer,attack_first,100,100,20,0.742063492063492,0.444444444444444,0.761904761904762,0.873015873015873,381,2.750656167979,2,3,3,3.65,3,3,5,77.75,11.66,10.99,14.53,21.0
clarity-r2,all,unlocked_hexer,defense_aware,100,100,75,0.53015873015873,0.26984126984127,0.507936507936508,0.80952380952381,567,3.35626102292769,3,3,4,6.0,4,6,8,91.45,26.24,137.95,37.99,79.5
clarity-r2,all,unlocked_hexer,lookahead,100,99,90,0.490123456790124,0.206349206349206,0.476190476190476,0.841269841269841,589,3.21561969439728,2,3,4,6.82,4,7,9,97.19,31.28,146.8,40.93,105.0
clarity-r2,all,later_cycle,attack_first,100,100,0,,,,,0,,,,,31.0,31,31,31,93.46,0.03,6.95,4.46,0.0
clarity-r2,all,later_cycle,defense_aware,100,100,0,,,,,0,,,,,31.04,31,31,31,91.29,2.52,127.71,10.26,0.0
clarity-r2,all,later_cycle,lookahead,100,100,0,,,,,0,,,,,31.08,31,31,31,91.59,3.26,132.58,10.55,0.0
