revision,seed_set,seed_base,seed_stride,engine_hash,route,profile,policy,n,deaths,first_fight_wins,entry_floor,checkpoint_floor,checkpoint_loss_n,checkpoint_loss_mean,checkpoint_loss_p10,checkpoint_loss_median,checkpoint_loss_p90,opening_normal_turns_n,opening_normal_turns_mean,opening_normal_turns_p10,opening_normal_turns_median,opening_normal_turns_p90,depth_n,depth_mean,depth_p10,depth_median,depth_p90,gross_damage_mean,healing_mean,blocked_mean,enemy_actions_mean,coin_spent_mean
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,attack_first,30,30,30,1,4,25,0.596571428571429,0.371428571428571,0.557142857142857,0.814285714285714,173,3.04046242774566,2,3,4,30,5.53333333333333,4,6,7,88.2666666666667,16.3,47.6666666666667,26.6333333333333,55.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,defense_aware,30,30,30,1,4,30,0.298095238095238,0.1,0.285714285714286,0.428571428571429,180,4.06111111111111,3,4,6,30,7.43333333333333,6,7,9,91.5666666666667,18.5,238.1,59.6,118.333333333333
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,fresh_sexton,lookahead,30,30,30,1,4,30,0.24047619047619,0.0428571428571428,0.242857142857143,0.442857142857143,180,3.41111111111111,2,3,5,30,8.36666666666667,7,8,10,93.9333333333333,20.7333333333333,195.4,52.8333333333333,141.666666666667
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,attack_first,30,30,30,1,4,29,0.534246575342466,0.273972602739726,0.561643835616438,0.712328767123288,179,2.72625698324022,2,3,3,30,6.53333333333333,5,6,7,92.2,16.5,53.6666666666667,27.2666666666667,81.6666666666667
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,defense_aware,30,30,30,1,4,30,0.172146118721461,0.0547945205479452,0.136986301369863,0.342465753424658,180,3.53333333333333,2,3,5,30,8.2,7,8,9,93.2666666666667,18.2,246.2,59.1333333333333,140.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,early_purchases,lookahead,30,30,30,1,4,30,0.151141552511416,0.0136986301369864,0.136986301369863,0.232876712328767,180,2.83333333333333,2,3,4,30,9.06666666666667,8,9,10,102.6,24.5,189.133333333333,49.8,178.333333333333
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,attack_first,30,30,30,1,4,11,0.772005772005772,0.603174603174603,0.761904761904762,0.952380952380952,143,2.67132867132867,2,3,3,30,4.36666666666667,3,4,6,76.3666666666667,10.7666666666667,9.16666666666667,15.2333333333333,41.6666666666667
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,defense_aware,30,30,30,1,4,28,0.41609977324263,0.206349206349206,0.428571428571429,0.571428571428571,178,3.10674157303371,3,3,4,30,6.66666666666667,5,7,8,82.8,17.8666666666667,117.666666666667,35.3666666666667,105.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,unlocked_hexer,lookahead,30,30,30,1,4,30,0.428571428571429,0.174603174603175,0.365079365079365,0.746031746031746,180,3.05555555555556,2,3,4,30,7.36666666666667,6,7,8,82.2666666666667,16.4333333333333,127.333333333333,36.8333333333333,110.0
clarity-2026-09-10-r4,development,73019,7919,ed1daf0bf001b61586d9930840f2f1394092c079,safe,later_cycle,attack_first,30,30,1,31,34,0,,,,,0,,,,,30,31.0,31,31,31,91.1666666666667,0.0,6.36666666666667,4.63333333333333,0.0
